"Date","GSPC_return","DJI_return","NYA_return","W5000_return","RUT_return"
2015-01-05,-0.0184472135325873,-0.0187549413363897,-0.0208267617907172,-0.0184593796259556,-0.014663265530098
2015-01-06,-0.0089332546906995,-0.00745615708496139,-0.00878778068356922,-0.0098660827671857,-0.0171091029343815
2015-01-07,0.0115627358448762,0.0121799154720339,0.0106196973473409,0.0113980922497063,0.0125445853072925
2015-01-08,0.0177301681271551,0.0182212901327166,0.0161859822169621,0.0172536592994508,0.0169980353218264
2015-01-09,-0.00843932214707888,-0.0095665681339181,-0.00828659345441451,-0.00812019633334238,-0.00877485438963266
2015-01-12,-0.00812661684347038,-0.00545700526910586,-0.00661949064905798,-0.00777482449601941,-0.00472581717432519
2015-01-13,-0.00258188543581639,-0.0015408045257459,-0.00167235969451696,-0.00235010258537116,0.000465998943233181
2015-01-14,-0.00583002896797513,-0.0106499720101674,-0.00543129591109448,-0.0054475309480857,-0.00303682291619722
2015-01-15,-0.00929090300456803,-0.00612293360766714,-0.00482166640144577,-0.0100484212553411,-0.0191706574515145
2015-01-16,0.0133348931862676,0.0109588736816555,0.0137637359767826,0.0138084429645833,0.0188222422522122
2015-01-20,0.00154875243340058,0.000208991753838816,-0.000159500920949185,0.000633413870001931,-0.00545403742157813
2015-01-21,0.00472046502218948,0.00222693984168743,0.00577953937466447,0.00443687649852365,-0.00342392801862612
2015-01-22,0.0151543130706298,0.0146858138413499,0.0128779192559882,0.0154453415620264,0.0204707058848763
2015-01-23,-0.00550665627930158,-0.00796817315765708,-0.00656142247769864,-0.00448407118683214,-0.00121039091539377
2015-01-26,0.00256516799862272,0.000345085450193849,0.00543740708743456,0.0045209983430663,0.00988423711795949
2015-01-27,-0.0134782878158575,-0.0166255485217537,-0.0060400915505685,-0.0116078047460686,-0.00507637058460908
2015-01-28,-0.0135875028110215,-0.0113274686520786,-0.0166441982033039,-0.0140938327943871,-0.0164913887963882
2015-01-29,0.00948951705826317,0.0130306422803237,0.00824306247608142,0.00913788529712889,0.0127343354314764
2015-01-30,-0.0130770990063187,-0.0145686375222187,-0.014547456147076,-0.0126989300114069,-0.0210487938025663
2015-02-02,0.0128791700002155,0.0113590927846943,0.0124314524615983,0.0118021610265107,0.00864629677288598
2015-02-03,0.014336238577453,0.0174359912699718,0.0165811784983614,0.0146413126062885,0.0181079598759162
2015-02-04,-0.00416470657245238,0.000374603811666319,-0.00669400431253742,-0.00409348807401777,-0.00464745374703401
2015-02-05,0.0102388107109093,0.0119165548523892,0.0111688646596164,0.0109932015954293,0.0143910324665324
